Folder 1,Folder 2,File,Class
Four Cameras,Evaluation Set,181021_19_45_06_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_19_45_06_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_19_45_06_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_19_45_06_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_19_45_06_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_19_45_06_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_19_45_06_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_19_45_06_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_19_45_06_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_20_00_20_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_00_20_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_00_20_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_00_20_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_00_20_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_00_20_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_00_20_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_00_20_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_00_20_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_20_22_18_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_22_18_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_22_18_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_22_18_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_22_18_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_22_18_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_22_18_Brick_Eval_crop1.jpg,Brick_1x1
